name,content,comments,keywords
,paYXaME_0Fc,"---
- PARSEFROMHERE Did anyone else notice at 10:30 it goes from beta 1.3_01 to beta 1.4_01?
  ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 1:20\n ENDPARSEFROMHERE""
","---
- minecraft
- adventure
- mode
- survival
- multiplayer
- yogscast
- beta
- shadow
- israphel
- notch
- xephos
- honeydew
- lewis
- simon
- knight peculier
- verigan
- karpath
- nubescu
- strongman
- bruno
- mr
- banjo
- Blue
"
,3RoFIYsrHhc,"---
- PARSEFROMHERE 3:27 moon waking mascot! ENDPARSEFROMHERE
","---
- nba 2k12 my player
- nba 2k12
- chris smoove
- chris
- smoove
- game play
- my player
- my
- player
- game
- play
- teammate grade
- A+
- commentary
- basketball
- houston rockets
- houston
- rockets
- patch 1.03
- speed
- quickness
- attributes
- bogut
- josh smith
- jamal crawford
- smoove to smoove
- chris to chris
- splash
- nba lockout
- layup
- tip slam
- put back dunk
- dunk
- poster
- '7182954'
"
,_baqt3jDJSI,"---
- PARSEFROMHERE 0:30 the fuck is happening to kennys left eye ENDPARSEFROMHERE
","---
- Liverpool
- LFC
- Liverpool Football Club
- Chelsea
- Craig Bellamy
- Bellamy
- tears
- Gary Speed
- applause
- remembered
- Carling Cup
- quarter final
- league cup
- FC
"
,1b56EUPWRSU,"---
- PARSEFROMHERE 9:39 ENDPARSEFROMHERE
- PARSEFROMHERE 4:44 ""GO ON WITHOUT ME BOY!!!"" ENDPARSEFROMHERE
- PARSEFROMHERE 6:40 The is a rhino, What---OOOOHHHH!!!!!!! ENDPARSEFROMHERE
- PARSEFROMHERE LIAR YOU DID RAGE QUIT, 16:45 ENDPARSEFROMHERE
- PARSEFROMHERE 15:12 FFFFFFFFFFFFFFUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
  ENDPARSEFROMHERE
- PARSEFROMHERE 15:08 LMFAO ENDPARSEFROMHERE
- PARSEFROMHERE 11:49 WTF ARROW THROUGH HEAD SURVIVAL? ENDPARSEFROMHERE
- PARSEFROMHERE 2:30 you could throw your son over you to occupy the arrow things
  ENDPARSEFROMHERE
- PARSEFROMHERE anyone notice there is no 17:11 ENDPARSEFROMHERE
- PARSEFROMHERE 6:42 - 6:50 LMFAOx10000000000000000000000000000000000 ENDPARSEFROMHERE
- PARSEFROMHERE 3:27 "" I can still make it! "" Meanwhile 47 Arrows sticking out of
  his ass.. ENDPARSEFROMHERE
","---
- widescreen
- fps
- 1st
- diamond
- custom map
- maps
- seed
- minecraft
- creeper
- minecraft mod
- mod
- lets
- play
- playthrough
- walkthrough
- bukkit
- commentary
- gameplay
- uberhaxornova
- nova
- how to
- new
- paragon
- machinima
- smack
- combo
- black
- respawn
- hd
- 1.8 update
- multiplayer
- custom
- consoles
- video game
- warfare
- gaming
- tutorial
- howto
- weapons
- update
- walkthrough part
- guide
- modern warfare
- original
- rage quit
- wool
- 1.9 update
- pre release
- prerelease
- showcase
- crazy
- death
- sickos
- little
- boy
- happy
- wheels
- happy wheels
- Uber
- Haxor
"
,ecq0Uznm7XU,"---
- PARSEFROMHERE 17:10 i died. ENDPARSEFROMHERE
","---
- charles
- trippy
- alli
- speed
- ctfxc
- zoey
- marley
- charlestrippy
- internet
- killed
- tv
- television
- cute
- chick
- dogs
- tricks
- we
- the
- kings
- puppy
- adorable
- girls
- are
- weird
- live
- show
- music
- jay
- sean
- jason
- derulo
- chiddy
- bang
- stanksauce
- unf
- university
- road
- trip
- crazy
- bike
- jumping
- people
- 'on'
- bicycle
- ctfx
"
,5LYAEz777AU,"---
- PARSEFROMHERE @warcool123 Actually, if you actually click to 4:30 that's when she's
  already done showing everything...... idiot. ENDPARSEFROMHERE
- PARSEFROMHERE there were 4:56. O.o ENDPARSEFROMHERE
- PARSEFROMHERE someone cant do math :) 4.5 is 4:30mins hahaaha but awesome video
  :P ENDPARSEFROMHERE
","---
- how to tie a scarf
- tie a scarf
- ways to wear a scarf
- winter scarf
- spring scarf
- scarf tutorial
- fashion tutorial
- scarf
- scarves
- how to wear a scarf
- wendyslookbook
"
,ZvaOr6b9yYk,"---
- PARSEFROMHERE 5:16 What a way to ruin the moment -_- ENDPARSEFROMHERE
","---
- survival
- island
- custom
- map
- minecraft
- israphel
- yogscast
- tomb
- mine
- craft
- open
- world
- commentary
- random
- new
- video
- game
- pc
- gaming
- lets
- play
- live
- notch
- episode
- Blue
- Xephos
"
,Cp4ydArnzgc,"---
- PARSEFROMHERE does anyone know if there is a HD version of the puma il mostro at
  1:11  ENDPARSEFROMHERE
- ! ""PARSEFROMHERE can anybody tell me the name of the music at the beginning? \nfrom
  0:00 till 1:20 ENDPARSEFROMHERE""
","---
- Volvo
- ocean
- race
- yacht
- yachting
- sailing
- extreme
- water
- sport
- heavy
- sea
- weather
- speed
- racing
- spray
- on-board
- history
- legacy
- winning
- victory
- waves
- imagine
- feeling
- action
- sports
- volvooceanracevideos
"
,sP119zd7TlI,"---
- PARSEFROMHERE 18:36  = fail ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 7:50 you will piss yourself\n ENDPARSEFROMHERE""
- PARSEFROMHERE 8:00 thats a very nice plane you got there... ENDPARSEFROMHERE
- PARSEFROMHERE curse of the creeper 7:59 ENDPARSEFROMHERE
- ! ""PARSEFROMHERE i saw a creeper 0:35 seconds\n ENDPARSEFROMHERE""
","---
- minecraft
- planes
- primordial
- desert
- yogscast
- lewis
- simon
- honeydew
- is
- dwarf
- and
- he's
- flying
- plane
- Blue
- Xephos
"
,8rXxZ2J_Q10,"---
- PARSEFROMHERE 4:29 finally!!! ENDPARSEFROMHERE
","---
- survival
- island
- custom
- map
- minecraft
- israphel
- yogscast
- tomb
- mine
- craft
- open
- world
- commentary
- random
- new
- video
- game
- pc
- gaming
- lets
- play
- live
- notch
- episode
- Blue
- Xephos
"
,4522OA2MMFY,"---
- PARSEFROMHERE That is a great staircase right there. ~5:00 ENDPARSEFROMHERE
- PARSEFROMHERE 3:10 I think Daisy would like to ;) ENDPARSEFROMHERE
- PARSEFROMHERE Pause it at 1:01, you can see Israphel's name plate ENDPARSEFROMHERE
- PARSEFROMHERE at 1:00 when he looks at the first furnace Israphel's name in near
  the bottom right corner of the screen :o ENDPARSEFROMHERE
","---
- israphel
- yogscast
- tomb
- minecraft
- mine
- craft
- mindcraft
- mind
- sandbox
- open
- world
- block
- boxes
- 2d
- 3d
- commentary
- random
- new
- video
- game
- pc
- gaming
- lets
- play
- live
- notch
- episode
- Blue
- Xephos
"
,t5c_MYLDV-w,"---
- PARSEFROMHERE pause a 1:18 guess where its coming from, if you guessed right buy
  yourself a cookie ENDPARSEFROMHERE
- PARSEFROMHERE 0:42 lucky fan ENDPARSEFROMHERE
- PARSEFROMHERE 7:56 ENDPARSEFROMHERE
- PARSEFROMHERE 7:54 ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 8:22 ' O KURWA MAC ' \nWelcome to Poland :D ENDPARSEFROMHERE""
- PARSEFROMHERE at 0:55 i thought they were gonna crash :P ENDPARSEFROMHERE
- PARSEFROMHERE best part from 0:00 to 8:36 :D ENDPARSEFROMHERE
- PARSEFROMHERE 7:50 ¿Eso pasó en Uruguay? ENDPARSEFROMHERE
- PARSEFROMHERE 2:13........ HAHAHAHAHAHAHAHA and also is he alright ENDPARSEFROMHERE
- PARSEFROMHERE 4:57 ;dd ENDPARSEFROMHERE
- PARSEFROMHERE what is that? 3:47 ENDPARSEFROMHERE
- PARSEFROMHERE what is that? 3:37 ENDPARSEFROMHERE
","---
- TNL
- twisternederland
- twisternederland7
- twisterfail
- fail
- compilation
- bmx
- ownage
- powned
- pwnd
- youtube
- february
- '2011'
- idiots
- 'on'
- bikes
- epic
- of
- the
- day
- twisternederland6
- epicfail
- drunk
- pain
- dunk
- bike
- race
- skater
- skate
- dumpert
- compilatie
- dont
- remove
- this
- video
- crash
- car
- best
- pogo
- stick
- trampoline
- accident
- backflip
- funny
- stunts
- '1.5'
- million
- views
- you
- will
- laugh
- montage
- comedy
- lol
"
,0X5Q9W4RPpU,"---
- PARSEFROMHERE Noo! Don't look at the comments when your whacing the video... Now
  you have to look it again!! --> 0:00 ENDPARSEFROMHERE
","---
- shadow of israphel
- minecraft
- lewis
- simon
- yogscast
- adventure
- mode
- beta
- notch
- xephos
- honeydew
- knight peculier
- verigan
- karpath
- nubescu
- strongman
- bruno
- mr
- banjo
- Blue
"
,2kiTcUhIdm0,"---
- ! ""PARSEFROMHERE Want a fresh minecraft server?\n IP: 96.8.117.98:25610\n\nJoin
  now!\n(Not this server is new, dont expect anything god made....Also, you have to
  sign up on a forum to be able to build!) ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE 30:06 XD?\n ENDPARSEFROMHERE""
- PARSEFROMHERE 17:05 so that's how superman was crippled ENDPARSEFROMHERE
","---
- fallout
- minecraft
- custom
- map
- xephos
- honeydew
- yogscast
- lewis
- simon
- Blue
"
,9e3PZKeR7DU,"---
- ! 'PARSEFROMHERE 11:23

  WHAT THE HELL?!?!?! What if Joker, or some other badguy was listening in on the
  radio frequency?! Now, they would have his name!!

  ...Dumbass. >:( ENDPARSEFROMHERE'
- PARSEFROMHERE 0:58 falcon pawnch!! ENDPARSEFROMHERE
- PARSEFROMHERE 00:58 shoryuken? ENDPARSEFROMHERE
- PARSEFROMHERE 0:58 Batman's SHORYUKEN! hahahah ENDPARSEFROMHERE
","---
- Batman
- Arkham
- City
- Batman Arkham City
- Walkthrough
- Playthrough
- Let's Play
- Gameplay
- Trailer
- Arkham City
- Official
- Arkam
- Part
- '16'
- Episode
- Part 16
- The
- Media
- Cows
"
,G2clZL-9AIM,"---
- PARSEFROMHERE 06:35   keep clicking :3 ENDPARSEFROMHERE
- PARSEFROMHERE 09:09   GET OUT THE WAY! GET OUT THE WAY BITCH! ENDPARSEFROMHERE
- PARSEFROMHERE 12:07 GRISWALD RAGE! ENDPARSEFROMHERE
- PARSEFROMHERE 9:02 YOU SHALL NOT PASS!!!!! ENDPARSEFROMHERE
- ! 'PARSEFROMHERE NEW SERVER!


  IP:67.68.46.222:25565 ENDPARSEFROMHERE'
","---
- yogscast
- minecraft
- simon
- plays
- honeydew
- mods
- mo
- creatures
- bunny
- bunnies
- plague
- of
- rabbits
- the
- horror
- Blue
- Xephos
"
,TQBQ0MIpJsk,"---
- ! ""PARSEFROMHERE 1:56 so  can watch the rest tomz\n ENDPARSEFROMHERE""
- PARSEFROMHERE 2:38 And so Simon's love for burning has been born! ENDPARSEFROMHERE
","---
- minecraft
- survival
- multiplayer
- how
- to
- survive
- guide
- lewis
- simon
- yogscast
- epic
- skeleton
- zombie
- dungeon
- Blue
- Xephos
"
,1LptoCFp2ss,"---
- PARSEFROMHERE 2:44 lol look at what jack has ENDPARSEFROMHERE
- PARSEFROMHERE @RoosterTeeth what are those blue shields called? 1:25 ENDPARSEFROMHERE
","---
- Achievement
- Hunter
- Tutorial
- Guide
- Walkthrough
- FAQ
- Rooster
- Teeth
- Halo
- Reach
- Bungie
- Microsoft
- HORSE
"
,Gz3t7yeA2Fo,"---
- PARSEFROMHERE have you seen this poster- 5:02 ENDPARSEFROMHERE
- PARSEFROMHERE 1:31 Matt doll :D ENDPARSEFROMHERE
- PARSEFROMHERE 2:00 - 3:00 :D ENDPARSEFROMHERE
- PARSEFROMHERE 0:19 toms talking to tord... ENDPARSEFROMHERE
- PARSEFROMHERE 1:59 - 2:26 is the funniest part :D ENDPARSEFROMHERE
- PARSEFROMHERE puse at 5:15 ENDPARSEFROMHERE
- PARSEFROMHERE 2:29 fav part ENDPARSEFROMHERE
- PARSEFROMHERE 0:54 Pasta is Masta ENDPARSEFROMHERE
","---
- eddsworld
- edd
- gould
- hammer
- fail
- funny
- sequel
- animation
- epic
- lol
- owned
- noob
- win
"
,HNiWPcWYNmo,"---
- ! 'PARSEFROMHERE 14:50

  ...

  Wait, if the Slime is really the Stay Puft Marshmellow Man..

  ...

  DOES THAT MEAN THE SLIME IS GOZER!? O_o ENDPARSEFROMHERE'
","---
- Apothecarium
- minecraft
- mod
- alchemy
- mad
- scientist
- cauldron
- nuclear bomb
- epic
- TNT
- reactor
- fallout
- uranium ore
- Blue
- Xephos
"
,BDni1MBYN4s,"---
- PARSEFROMHERE 4:07........what the fuck did he even say? and that sums up COD fanboys
  perfectly ENDPARSEFROMHERE
","---
- Call
- of
- Duty
- Modern
- Warfare
- annoying
- funny
- noob
- acting
- idiot
- blocking
- lol
- nice
- mw2
- cod
- black
- ops
- first
- stupid
- awesome
- good
- machinima
- easy
- tutorial
- how
- to
- be
- zx
- noregretz
- Xz
- zxnoregretzzxz
- yt:quality=high
- cod4
- modern warfare
- waw
"
,zB9jnN17v8A,"---
- PARSEFROMHERE 22:51 Christ Malik, this sounds like something out of a bad spy movie.
  ENDPARSEFROMHERE
","---
- Deus
- Ex
- revolution
- human
- fps
- 1080p
- GTX590
- playthrough
- commentary
- silly
- game
- playthrough part
- omfgcata
"
,_dDOu3eHCQ0,"---
- PARSEFROMHERE 4:05 someone's been playing robot unicorn attack ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 4:43  Just get the TNT XD  You and blowing crap up, it''s hilarious.


  But not as funny as that time you burned that pirate''s ship with the flint in the
  Shadows of Isphrarel. XD I was dyin''. XD ENDPARSEFROMHERE'
","---
- minecraft
- the
- crevice
- jolicraft
- yogscast
- adventure
- mode
- simon
- lewis
- custom
- map
- shadow
- israphel
- Blue
- Xephos
"
,4DX1WUcX7bc,"---
- PARSEFROMHERE 13:42 ""i m not stupid"", yet he just walk to an electrified fence ENDPARSEFROMHERE
- PARSEFROMHERE 04:08 scers me even the doll ENDPARSEFROMHERE
- PARSEFROMHERE 16:39 facebook profile pic right there ENDPARSEFROMHERE
- PARSEFROMHERE 10:52 so thats what bane meant when he mentioned titan abuse hahhaha
  ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 8:28 ""I was only here for Freeze and the hostages""

  Really Batman? Subtitles say you came for the fries.

  XD LOL ENDPARSEFROMHERE'
- PARSEFROMHERE 0:15 :O Gordon Freeman sent him ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 12:12

  He was going to throw a person at you!! D8< What the hell?! ENDPARSEFROMHERE'
- ! ""PARSEFROMHERE 10:00 \""Does everyone have one of those one armed guys?\"" \n\nYes
  they do. It comes in your standard supervillain package.  ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE 16:15 On pc I can't get past that part for the life of me, Seems
  simple enough but every fucking time i shoot the box....It goes no where. Any help?\n
  ENDPARSEFROMHERE""
","---
- Batman
- Arkham
- City
- Batman Arkham City
- Walkthrough
- Playthrough
- Let's Play
- Gameplay
- Trailer
- Arkham City
- Official
- Arkam
- Part
- '13'
- Episode
- Part 13
- The
- Media
- Cows
"
,YAVbkP6biR0,"---
- PARSEFROMHERE i lawled so hard at 0:14 ENDPARSEFROMHERE
- PARSEFROMHERE u missed riddler thing at 15:10 ENDPARSEFROMHERE
- PARSEFROMHERE lol Funniest part of the video is at 00:12 ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 0:12

  Take it easy asshole she''s pregnant!! ENDPARSEFROMHERE'
","---
- Batman
- Arkham
- City
- Batman Arkham City
- Walkthrough
- Playthrough
- Let's Play
- Gameplay
- Trailer
- Arkham City
- Official
- Arkam
- Part
- '03'
- Episode
- Part 3
- The
- Media
- Cows
"
,tchKUw1PA1A,"---
- PARSEFROMHERE 11:32 U DIDNT SHUT THE DOOR! XD ENDPARSEFROMHERE
","---
- minecraft
- survival
- multiplayer
- how
- to
- survive
- guide
- lewis
- simon
- yogscast
- epic
- skeleton
- zombie
- dungeon
- hellgate
- Blue
- Xephos
"
,_eR1j23g60A,"---
- PARSEFROMHERE 8:53 I fully expected Lewis to say ""Have you got any torches?"" ENDPARSEFROMHERE
- PARSEFROMHERE 20:00 i didnt know that zombles float in water when they are dead
  xD ENDPARSEFROMHERE
- PARSEFROMHERE 00:03 look at the nameplate of the car LOL  it spells dead island
  :D ENDPARSEFROMHERE
- PARSEFROMHERE 0:00 ENDPARSEFROMHERE
- PARSEFROMHERE 0:00 ENDPARSEFROMHERE
- PARSEFROMHERE 13:25 lol ENDPARSEFROMHERE
","---
- dead island
- lewis
- yogscast
- plays
- simon
- not
- minecraft
- these
- are
- different
- zombies
- Blue
- Xephos
"
,kcV0LD5ti1o,"---
- PARSEFROMHERE anyone notice that at 09:24 he didnt have the the battery and at 09:25
  he had! ENDPARSEFROMHERE
- PARSEFROMHERE 6:40 ISRAFEL ENDPARSEFROMHERE
","---
- yogscast
- lewis
- simon
- honeydew
- technic pack
- technic
- buildcraft
- industrialcraft
- Blue
- Xephos
"
,55TsOUhrSro,"---
- PARSEFROMHERE 13:33 XD OMG WTF BBQ ENDPARSEFROMHERE
- PARSEFROMHERE At 6:42 when they said ""With great power comes great res--"" I thought
  they were going to say ""resistance. Geddit? Power? Resistance? P=I squared R? No-one?
  ENDPARSEFROMHERE
","---
- nuclear power
- industrial diamonds
- yogscast
- lewis
- simon
- honeydew
- technic pack
- technic
- buildcraft
- industrialcraft
- Blue
- Xephos
"
,-15zhD7Vs8Q,"---
- PARSEFROMHERE Stop At 7:13 ENDPARSEFROMHERE
","---
- Call
- of
- Duty
- Modern
- Warfare
- ! '[3]'
- cod
- Mw3
- Survival
- Mode
- Insane
- Difficulty
- Bakaara
- Part
- Episode
- spec
- ops
- spec-ops
- Mitch
- Bajan
- Canadian
- thebajancanadian
- rushour
- Sean
- ASF
- asfilms
- awesomesaucefilms
- Awesome
- Sauce
- Films
"
,0z_q5cUMkAM,"---
- PARSEFROMHERE xD hahaha, Shane's mom at 2:14 ""We are the penis brigade!"" ENDPARSEFROMHERE
- PARSEFROMHERE i have a head ache now 9:25 ENDPARSEFROMHERE
- PARSEFROMHERE 2:37 ""Hurts my throat""  5 seconds later realizes why it's funny, and
  bursts out laughing <3 ENDPARSEFROMHERE
- PARSEFROMHERE O and the female strippers besides barbie don't look so happy on 7:35
  ENDPARSEFROMHERE
- ! 'PARSEFROMHERE did yo never fix your door from the Friends Forever


  look on 0:03-0:08 ENDPARSEFROMHERE'
- PARSEFROMHERE the guy at 3:53 is that the kids dad?? ENDPARSEFROMHERE
- PARSEFROMHERE The little boy's mom at 2:07 uhh....ok I just herd about the coockies
  at 0:27 LOL:P ENDPARSEFROMHERE
- PARSEFROMHERE Shane.... can I have your mom? Example- 2:12 ENDPARSEFROMHERE
","---
- shanedawsontv
- the
- one
- that
- got
- away
- katy
- perry
- music
- video
- spoof
- shanedawsontv2
- gay
- shane
- funny
- dance
- Dawson
- TV
"
,SX2Gd-kqV5s,"---
- PARSEFROMHERE and the name of the song at 2:16 ENDPARSEFROMHERE
","---
- ! 'Tags: Nokia Lumia 800'
- Nokia lumia live
- 4d projection
- deadmau5
- millbank tower
- light show
- light projection
- nokiauk
"
,LHqEwIadhO8,"---
- PARSEFROMHERE Pause at 0:27 and watch vegeta's head on his shoulder. wtf? and nappa
  take off those glasses you goof. ENDPARSEFROMHERE
","---
- dragonball
- over
- '9000'
- '8000'
- what
- does
- the
- scanner
- say
- power
- levels
- vegeta
- napa
- meme
- irl
- dragon
- ball
- akira
- dragonballz
- freddiew
"
,7iu7WZ6OK6c,"---
- PARSEFROMHERE 5:10 beast ass crossover  ENDPARSEFROMHERE
","---
- call of duty modern warfare 3
- modern warfare 3
- call of duty
- cod mw3
- cod
- mw3
- chris smoove
- chris
- smoove
- Pickle9000
- modern warfare 3 gameplay
- commentary
- modern warfare 3 commentary
- modern warfare 3 guns
- modern warfare 3 perks
- mw3 moab
- modern warfare 3 moab
- mw3 mother of all bombs
- mother of all bombs
- massive ordnance air blast
- specialist
- strike
- package
- lmfao sexy and i know it
- portable radar
- '7182954'
"
,roY6RseK5cw,"---
- PARSEFROMHERE This is the difference between someone who hustles and continues to
  hustle to someone who doesn't hustle at all... on 2:58 notice how T.I.P gets up
  to tell his boy goodbye while the next dude over thinks he's too good cause he's
  on a T.I.P video and doesn't even bother to get up! This says a lot about T.I.P,
  This says a lot about being a hustler, this says a lot about being a humble dude
  and never forgetting where you come from!  ENDPARSEFROMHERE
- PARSEFROMHERE 0:11 your welcome ENDPARSEFROMHERE
- PARSEFROMHERE Watch T.I. tonight in the jimmy fallon show 12:35 am ET/PT and tomrrow
  in the Wendy Willams show 10 am ET/PT on FOX ENDPARSEFROMHERE
","---
- TI
- Big KRIT
- i'm
- flexin
- tivs
- TIP
"
,zuzaxlddWbk,"---
- PARSEFROMHERE 1:08 360 throwing knife kill. ENDPARSEFROMHERE
- PARSEFROMHERE lol 1:20 Dwight Howard is going insane with the gun.... ENDPARSEFROMHERE
- PARSEFROMHERE EPIK AT 0:57 Yay for epik moments ENDPARSEFROMHERE
","---
- Call of Duty MW3
- Modern Warfare 3 trailer
- MW3 vet noob trailer
- COD MW3 vet n00b commercial
- COD
- MW3
- trailer
- Call
- of
- Duty
- Modern
- Warfare
- Official
- call of duty
- MW3 commercial
- MW3 ad
- MW3 trailer
- MW3 live action trailer
- MW3 jonah hill
- MW3 sam worthington
- MW3 Dwight Howard
- Modern Warfare 3 commercial
- Modern Warfare 3 ad
- Modern Warfare 3 Jonah Hill
- Modern Warfare 3 Dwight Howard
- infinity ward
- sledgehammer
- activision
- CALLOFDUTY
"
,3fy4cqWMhyI,"---
- PARSEFROMHERE who's 2:25 and 2:30? ENDPARSEFROMHERE
","---
- 원더걸스
- Wonder Girls
- wondergirls
- Be My Baby
- 비마이베이비
- 선예
- sun
- sunye
- 예은
- yenny
- yeeun
- 유빈
- yubin
- 소희
- sohee
- 혜림
- lim
- hyelim
- jyp
- JYP Entertainment
- Park Jin-young
- jyp nation
- Wonder World
"
,Z4ioP4VjRmk,"---
- PARSEFROMHERE 1:00 hipo iis the slime on slys shirt ENDPARSEFROMHERE
","---
- xxslyxx
- slyfoxhound
- slyfox
- xxslyfoxhoundxx
- Sly
- Pokemobs
- minecraftchallenge
- moarminecraft
- minecraftbeta
- video
- game
- homiesunited
- yeahyeahyeah
- Hipo
- knows
- that2pac
- is
- alive
- andhe
- visitshim
- 'on'
- the
- weekends
- they
- play
- tabletennis
- xsly
- Fox
- Hound
- Xx
"
,0Nqq9oeBWbY,"---
- ! ""PARSEFROMHERE love the plot twist at 16:35\n ENDPARSEFROMHERE""
- PARSEFROMHERE 5:27 ish, lol at the dancing prostitute.  ENDPARSEFROMHERE
- PARSEFROMHERE 5:00 G.I joe ENDPARSEFROMHERE
","---
- Saints
- Row
- The
- Third
- Walkthrough
- Saints Row 3
- Playthrough
- Lets
- Play
- Gameplay
- Saints Row The Third
- Giveaway
- Trailer
- Review
- Official
- Episode
- Part
- '10'
- Part 10
- III
- ! '&quot;Saints'
- 3&quot;
- Volition
- Inc
- THQ
- ! '&quot;playstation'
- PS3
- Xbox
- '360'
- Xbox360
- PC
- Media
- Cows
"
,r9DiN4DRORw,"---
- ! ""PARSEFROMHERE 4:12-4:20\n lol\n ENDPARSEFROMHERE""
- PARSEFROMHERE Can anyone give me the name of the Jordan's Meek is wearing @ 4:54
  ENDPARSEFROMHERE
- PARSEFROMHERE Pause at 3:20 and you'l see Rick Ross serving the girls Crack!!! ENDPARSEFROMHERE
","---
- meek mill
- rick ross
- work
- official video
- damaya
- RR
"
,crkHMPQUC3U,"---
- PARSEFROMHERE 2:15 BOLLOCKS!!!11!!!ONEONEONEone ENDPARSEFROMHERE
- PARSEFROMHERE @rogierpoep 14:45 :P xD ENDPARSEFROMHERE
- PARSEFROMHERE 14:40 TB gets emo ENDPARSEFROMHERE
- PARSEFROMHERE 9:10 to skip TB failing at platforming. (It was a hard jump) ENDPARSEFROMHERE
- PARSEFROMHERE 04:00 to 09:05 = Insanely hard to do part! haha xD ENDPARSEFROMHERE
","---
- wtf is
- game
- computer game
- first impressions
- play
- lp
- review
- totalbiscuit
- totalhalibut
- wtf-a-thon
- cynical brit
- pc game
- gaming
- bloody trapland
- Total
- Halibut
"
,SucrpDpLx1I,"---
- PARSEFROMHERE I thought Lisa was going to shoot me with a shotgun at  5:57 lol ENDPARSEFROMHERE
- PARSEFROMHERE 4:16 hahahah lisa :) ENDPARSEFROMHERE
","---
- cimorelli it will rain
- it will rain bruno mars
- adele chasing pavements
- it will rain cover
- chasing pavements cover
- cimorelli chasing pavements
- beware
- of
- egg
- nog
- Dani
- yawns
- again
- cimorellitheband
"
,8FbF18hDosw,"---
- PARSEFROMHERE 1:20 - 1:40.. MY GOD IT SOUNDS SO AWESUM!!!!! ENDPARSEFROMHERE
","---
- Jason Derulo
- breathing
- Future History
- It Girl
- official video
- Dont wanna go home
- lyrics
- new music
- dance
- Jason
- Derulo
"
,gLdFQXGzH_8,"---
- PARSEFROMHERE Fumblemore at 7:04 B00M! HEADSHOT! ENDPARSEFROMHERE
","---
- nether dungeons
- nether update
- fire slimes
- lily pads
- NPC villages
- minecraft
- pre-release
- '1.8'
- mushrooms
- stronghold
- Blue
- Xephos
"
,JuKFsaXhqRM,"---
- PARSEFROMHERE 7:05 Thats Yorick's house!!! ENDPARSEFROMHERE
","---
- minecraft
- mine
- craft
- mindcraft
- mind
- sandbox
- open
- world
- block
- boxes
- 2d
- 3d
- commentary
- random
- new
- video
- game
- pc
- gaming
- lets
- play
- live
- yogscast
- notch
- episode
- Blue
- Xephos
"
,S7BYF8UdNuc,"---
- PARSEFROMHERE Its impossible to see a 60 year old man jump from a high castle11:28.
  ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 15:34

  no gravity ENDPARSEFROMHERE'
","---
- Assassins
- Creed
- Revelations
- Assassins Creed Revelations
- Assassin's
- Walkthrough
- Gameplay
- Sequence 5
- Part 22
- Part
- '22'
- Playthrough
- Let's
- Play
- Trailer
- Literal
- Official
- Ubisoft
- Ezio
- The
- Media
- Cows
"
,R0MZW6s0-yI,"---
- PARSEFROMHERE Watching this video makes me realises just how gay Sexy and I know
  it actually is. Especially at 2:21 ENDPARSEFROMHERE
- PARSEFROMHERE Would have loved to be a random walking past at 2:25 LOL ENDPARSEFROMHERE
","---
- LMFAO
- I'm
- Santa
- sexy
- and
- know
- it
- Paddy
- Ceil
- Dan
- '101.3'
- Sea
- Fm
- Seafm
- Breakfast
- radio
- parody
- spoof
- funny
- joke
- song
- film
- '1013'
- goonman
"
,y4ppadeb71c,"---
- PARSEFROMHERE WHUT THE FK IS THIS?! 3:17 ENDPARSEFROMHERE
- PARSEFROMHERE 16:02 thumbs up for sufficating squid ENDPARSEFROMHERE
- ! ""PARSEFROMHERE click on 3:18 and keep clicking it it sound funny\n ENDPARSEFROMHERE""
","---
- yogscast
- minecraft
- portalcraft
- portal
- lewis
- simon
- hannah
- mod
- spotlight
- ichun
- gun
- Blue
- Xephos
"
,QkkoHAzjnUs,"---
- PARSEFROMHERE The best part was from 0:00 to 1:25. ENDPARSEFROMHERE
- PARSEFROMHERE 0:00-1:25 EPIC! ENDPARSEFROMHERE
- PARSEFROMHERE I'm imagining ME in that jet at 1:10!!! ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 0:55 ; Does that address in the bottom right look like a backwards
  release date to anyone? 05-24? \nRockstar,\nStop sending us subliminal messages-
  It's driving us all mad. \nSincerely,\nAll 8,634,529 of Us. ENDPARSEFROMHERE""
","---
- GTA V
- GTA 5
- Grand Theft Auto V
- Grand Theft Auto 5
- Grand Theft Auto
- GTA
- trailer
- Rockstar Games
- Rockstar
- official
- games
- gaming
- video games
- high definition
- HD Video Game
- Grand Theft Auto (series)
- grandtheftauto
- gta game
- gta games
- games gta
- grand game
- game grand
- new trailers
- gametrailers
- Debut trailer
- first trailer
- theft
- auto
- grand
- game
- new games
- videos game
- game videos
- video gaming
- grand theft auto trailer
- trailers
- grand theft auto V trailer
"
